dummy[]	data[]
1253	0.3616
1254	0.5355
1255	-0.2033
1256	-0.03711
1257	0.02094
1258	0.3958
1259	-0.3376
1260	0.2882
1261	-0.2612
1262	0.4858
1263	0.2325
1264	0.4793
1265	0.3457
1266	0.03318
1267	0.08433
1268	0.1434
1269	-0.4519
1270	0.5369
1271	0.4858
1272	-0.03459
1273	-0.3277
1274	-0.5709
1275	0.4528
1276	0.1017
1277	0.3856
1278	-0.06921
1279	0.005246
1280	0.4831
1281	0.1432
1282	-0.1163
1283	0.2151
1284	0.1354
1285	0.03897
1286	0.09455
1287	-0.5177
1288	0.381
1289	0.5088
1290	-0.5051
1291	0.5393
1292	0.2596
1293	0.07862
1294	0.2942
1295	0.247
1296	0.1928
1297	0.3971
1298	0.6451
1299	-0.2125
1300	-0.02568
1301	-0.8861
1302	0.3768
1303	0.09481
1304	-0.1903
1305	0.12
1306	-0.1094
1307	-0.2848
1308	0.472
1309	-0.006609
1310	0.1089
1311	-0.5048
1312	0.2639
1313	-0.4342
1314	0.682
1315	-0.8199
1316	0.3336
1317	-0.01813
1318	-0.4301
1319	0.3248
1320	0.4379
1321	0.05453
1322	-0.4486
1323	0.03387
1324	0.5441
1325	-0.1624
1326	-0.5076
1327	0.2673
1328	0.4894
1329	0.1292
1330	0.0248
1331	-0.23
1332	0.4164
1333	0.1281
1334	0.01756
1335	-0.3141
1336	-0.5427
1337	0.6142
1338	0.115
1339	0.3631
1340	-0.08649
1341	0.8578
1342	0.5415
1343	-0.06744
1344	0.02765
1345	-0.1252
1346	-0.225
1347	-0.4681
1348	0.3227
1349	0.3061
1350	-0.3834
1351	0.305
1352	-0.08096
1353	0.005568
1354	0.7431
1355	0.05498
1356	-0.2582
1357	-0.1189
1358	0.1625
1359	-0.02112
1360	-0.1552
1361	-0.3078
1362	0.05025
1363	0.7039
1364	0.3245
1365	0.1026
1366	0.2141
1367	0.1956
1368	0.3959
1369	-0.08056
1370	-0.1736
1371	0.2999
1372	-0.4539
1373	1.337
1374	0.5847
1375	0.08729
1376	-0.04686
1377	0.07775
1378	-0.1521
1379	-0.1658
1380	0.146
1381	0.2439
1382	0.3679
1383	-0.2852
1384	0.3082
1385	-0.07342
1386	0.2055
1387	-0.104
1388	0.3965
1389	-0.005208
1390	-0.1063
1391	0.002573
1392	0.8941
1393	-0.07563
1394	-0.4368
1395	-0.1666
1396	-0.1908
1397	-0.3299
1398	0.446
1399	0.3211
1400	-0.1866
1401	0.2314
1402	-0.4008
1403	0.04365
1404	-0.2281
1405	-0.1635
1406	0.08508
1407	0.1806
1408	-0.2418
1409	-0.2117
1410	0.01655
1411	-0.6529
1412	-0.4924
1413	0.6079
1414	0.1853
1415	-0.5908
1416	-0.06226
1417	0.6591
1418	-0.1375
1419	-0.4374
1420	0.1553
1421	-0.5044
1422	0.1766
1423	-0.3597
1424	-0.3095
1425	-0.2515
1426	0.4148
1427	-0.04717
1428	0.4673
1429	0.1003
1430	0.1122
1431	-0.6905
1432	0.4422
1433	-0.1843
1434	-0.1499
1435	0.4791
1436	0.1946
1437	-0.04432
1438	0.07658
1439	-0.03071
1440	0.02871
1441	0.4893
1442	0.3547
1443	0.1406
1444	0.4733
1445	0.4146
1446	0.3776
1447	0.2065
1448	-0.74
1449	0.2145
1450	-0.01682
1451	-0.1132
1452	0.1975
1453	0.4693
1454	0.1944
1455	-0.2723
1456	-0.07732
1457	0.294
1458	0.03165
1459	-0.02879
1460	0.2164
1461	0.7043
1462	0.5561
1463	0.3845
1464	-0.07324
1465	-0.3278
1466	-0.3829
1467	-0.6605
1468	-0.2841
1469	-0.03104
1470	-1.15
1471	-0.2356
1472	0.7576
1473	-0.4548
1474	0.4435
1475	0.4226
1476	0.8175
1477	-0.1451
1478	-0.1985
1479	-0.4196
1480	0.04768
1481	0.08231
1482	-0.1591
1483	-0.1308
1484	0.6317
1485	0.1379
1486	0.5063
1487	0.2874
1488	0.6885
1489	0.1195
1490	0.3346
1491	0.2456
1492	0.124
1493	-0.3253
1494	0.8093
1495	0.9033
1496	-0.1868
1497	0.6409
1498	-0.1279
1499	0.5467
1500	-0.142
1501	-0.6639
1502	-0.04892
1503	0.3047
1504	0.273
1505	-0.3966
1506	0.1715
1507	0.3862
1508	0.01152
1509	1.003
1510	-0.3294
1511	0.2108
1512	-0.6712
1513	-0.2258
1514	0.02696
1515	0.05892
1516	0.05513
1517	-0.4028
1518	0.5093
1519	-0.6374
1520	0.6546
1521	-0.0383
1522	-0.006633
1523	-0.01039
1524	0.00695
1525	-0.05197
1526	-0.4768
1527	-0.09991
1528	0.1942
1529	-0.3776
1530	0.1908
1531	0.08824
1532	0.02584
1533	-0.7756
1534	-0.2644
1535	0.5216
1536	0.166
1537	-0.2585
1538	0.4846
1539	-0.6602
1540	0.02512
1541	-0.1178
1542	0.26
1543	0.1466
1544	-0.6538
1545	0.02247
1546	0.3
1547	0.5547
1548	-1.612E-4
1549	-0.5807
1550	0.4348
1551	0.3943
1552	0.0445
1553	-0.4274
1554	-0.3669
1555	-0.4035
1556	0.02242
1557	-0.005396
1558	0.1766
1559	0.105
1560	0.01802
1561	-0.05561
1562	0.2856
1563	0.688
1564	0.4408
1565	0.1637
1566	-0.2461
1567	0.1901
1568	0.358
1569	-0.4138
1570	-0.428
1571	0.01553
1572	-0.2809
1573	0.3946
1574	0.3659
1575	0.135
1576	-0.3356
1577	0.2639
1578	-0.04993
1579	0.5062
1580	0.4625
1581	0.7616
1582	0.1498
1583	-0.1614
1584	-0.1501
1585	0.4175
1586	-0.1117
1587	0.1807
1588	-0.09674
1589	-0.6049
1590	0.1593
1591	-0.3128
1592	-0.1977
1593	0.08777
1594	0.3001
1595	0.04203
1596	-1.015
1597	0.2475
1598	-0.5173
1599	-0.03153
1600	-0.4149
1601	0.1221
1602	0.516
1603	0.001917
1604	-0.3229
1605	0.07818
1606	-0.048
1607	0.6465
1608	0.03605
1609	-0.2373
1610	-0.749
1611	0.2738
1612	0.5214
1613	0.02876
1614	-0.1066
1615	-0.07251
1616	-0.3426
1617	-0.1957
1618	0.5164
1619	0.9005
1620	0.2182
1621	-0.373
1622	0.1821
1623	-0.06056
1624	0.7605
1625	-0.1565
1626	-0.5084
1627	-0.3546
1628	0.2601
1629	-0.09211
1630	0.3767
1631	-0.5333
1632	-0.8429
1633	-0.2583
1634	-0.03935
1635	0.4842
1636	-0.08855
1637	-0.1417
1638	0.01537
1639	0.07885
1640	0.1013
1641	-0.2544
1642	-0.1488
1643	-0.3918
1644	-0.632
1645	-0.1956
1646	0.1794
1647	-0.09357
1648	-0.03707
1649	0.007985
1650	-1.165
1651	0.6038
1652	-0.438
1653	-0.06776
1654	0.226
1655	-0.3853
1656	-0.1039
1657	0.2415
1658	-0.3075
1659	-0.08408
1660	-0.1762
1661	0.02683
1662	-0.817
1663	-0.3809
1664	0.1999
1665	0.29
1666	0.1034
1667	-0.1165
1668	0.1784
1669	-0.4703
1670	0.5773
1671	-0.3073
1672	0.3536
1673	0.007494
1674	-0.00138
1675	-0.4241
1676	0.3158
1677	0.0114
1678	0.3004
1679	0.0966
1680	-0.7763
1681	-0.2357
1682	1.028
1683	-0.7865
1684	0.8255
1685	0.4024
1686	0.4905
1687	0.2814
1688	-0.1196
1689	0.01968
1690	-0.1986
1691	0.01038
1692	0.1987
1693	-0.07912
1694	-0.0975
1695	-0.2349
1696	0.1549
1697	0.4991
1698	0.1369
1699	-0.1324
1700	0.745
1701	0.4973
1702	0.2923
1703	-0.399
1704	-0.347
1705	0.5227
1706	-1.28
1707	-0.01405
1708	0.6336
1709	0.5104
1710	0.3802
1711	-0.141
1712	0.2789
1713	0.4547
1714	-0.2364
1715	0.03324
1716	-0.01347
1717	-0.6194
1718	0.4438
1719	0.8741
1720	-0.4342
1721	0.07
1722	0.2267
1723	-0.6807
1724	0.4442
1725	-0.7434
1726	-0.04146
1727	0.6586
1728	0.25
1729	0.4426
1730	0.5744
1731	-0.2606
1732	0.9052
1733	0.7412
1734	-0.2597
1735	-0.8787
1736	-0.2088
1737	0.3705
1738	-0.6618
1739	-0.02574
1740	0.03029
1741	0.4175
1742	0.2528
1743	-0.4618
1744	-0.1729
1745	-0.8152
1746	-0.2672
1747	0.2927
1748	0.3626
1749	0.02329
1750	0.129
1751	0.3917
1752	0.662
1753	-0.02388
1754	-0.5338
1755	-0.3429
1756	0.06034
1757	0.532
1758	0.1783
1759	0.7516
1760	0.08471
1761	0.08538
1762	-0.2226
1763	0.2979
1764	0.4983
1765	0.04357
1766	0.3646
1767	-0.2975
1768	-0.04003
1769	0.6828
1770	0.6296
1771	-0.1244
1772	-0.4546
1773	-0.3226
1774	0.1584
1775	0.1853
1776	0.2225
1777	0.434
1778	0.4562
1779	-0.5347
1780	-0.2908
1781	0.5908
1782	0.5879
1783	0.7584
1784	0.3407
1785	-0.04313
1786	-0.4484
1787	0.1058
1788	-0.1712
1789	-0.1943
1790	0.07911
1791	-0.4108
1792	-0.01811
1793	-0.1515
1794	-0.2249
1795	0.2159
1796	0.3168
1797	0.5587
1798	0.02469
1799	-0.4184
1800	0.5617
1801	-0.5367
1802	0.1152
1803	-0.4851
1804	-0.4606
1805	0.2404
1806	0.6174
1807	0.1299
1808	0.4195
1809	-0.7571
1810	0.153
1811	-0.01826
1812	0.251
1813	-0.3458
1814	0.1232
1815	0.01659
1816	-0.9052
1817	-0.04566
1818	-0.2255
1819	-0.1129
1820	0.09878
1821	0.314
1822	0.2715
1823	0.1057
1824	-0.7017
1825	-0.2474
1826	-0.2282
1827	0.1546
1828	0.3092
1829	-0.1805
1830	-0.7551
1831	0.7162
1832	0.4274
1833	-0.4423
1834	-0.2774
1835	0.2602
1836	-0.508
1837	0.3181
1838	-0.2713
1839	0.01219
1840	0.2233
1841	0.4222
1842	-1.107
1843	0.1807
1844	0.02453
1845	0.1556
1846	0.5626
1847	0.2186
1848	-0.09072
1849	-0.5325
1850	-0.1919
1851	-0.9216
1852	-0.222
1853	0.4864
1854	-0.04361
1855	-0.6311
1856	0.8998
1857	-0.2399
1858	0.05765
1859	-0.5527
1860	-0.3436
1861	0.6733
1862	-0.4661
1863	-0.4068
1864	-0.3209
1865	0.2739
1866	-0.2228
1867	-0.1368
1868	-0.2843
1869	0.9481
1870	0.02578
1871	-0.5486
1872	-0.04578
1873	0.3901
1874	0.4737
1875	-0.4675
1876	0.2363
1877	-0.2865
1878	0.9411
1879	-0.04969
1880	0.2896
1881	1.135
1882	0.3769
1883	0.6824
1884	0.4198
1885	0.2784
1886	-0.03958
1887	0.08249
1888	-0.5923
1889	-0.1509
1890	0.3708
1891	0.06556
1892	0.6125
1893	0.6576
1894	-0.3698
1895	0.2265
1896	-0.2078
1897	-0.3509
1898	-0.351
1899	-0.6241
1900	-0.0206
1901	0.08657
1902	0.4774
1903	0.2315
1904	0.1105
1905	0.1933
1906	-0.05428
1907	0.7265
1908	-0.09382
1909	0.6362
1910	0.5793
1911	0.1922
1912	-0.4212
1913	-0.1295
1914	-0.03392
1915	0.01342
1916	-0.1671
1917	-0.3846
1918	0.9372
1919	-0.3363
1920	-0.09915
1921	-0.06403
1922	0.008666
1923	0.6642
1924	-0.1115
1925	-0.03064
1926	0.05897
1927	-0.06709
1928	0.3116
1929	0.3046
1930	0.3087
1931	-0.2044
1932	-0.249
1933	0.4027
1934	-0.3375
1935	0.2118
1936	0.2149
1937	-0.4131
1938	0.2711
1939	-0.657
1940	0.5792
1941	0.27
1942	-0.465
1943	-0.3498
1944	-0.1431
1945	-0.2654
1946	-0.4549
1947	0.3842
1948	0.2662
1949	-0.8579
1950	-0.03882
1951	-0.03177
1952	-0.03724
1953	0.9126
1954	0.3713
1955	-0.09197
1956	0.2545
1957	0.002785
1958	0.6005
1959	-0.1546
1960	0.5199
1961	0.3887
1962	-0.3432
1963	-0.2336
1964	0.4054
1965	-0.4463
1966	0.0195
1967	-0.06208
1968	-0.6274
1969	0.1511
1970	-0.2247
1971	0.2719
1972	0.2869
1973	0.2281
1974	0.4874
1975	0.2616
1976	-0.5715
1977	-0.5402
1978	-0.519
1979	-0.2962
1980	0.1949
1981	-0.1403
1982	0.602
1983	-0.2907
1984	-0.465
1985	-0.4177
1986	0.3078
1987	0.3923
1988	-0.005063
1989	0.3868
1990	0.7945
1991	-0.08071
1992	-0.5741
1993	-0.1289
1994	0.2963
1995	0.274
1996	-0.1036
1997	0.5713
1998	0.6799
1999	-0.6247
2000	-0.06849
2001	-0.4749
2002	-0.2689
2003	-0.2233
2004	-0.3362
2005	-0.09159
2006	0.6236
2007	0.2825
2008	0.8519
2009	0.1407
2010	2.979E-5
2011	-0.38
2012	-0.1676
2013	-0.2639
2014	-0.02189
2015	-0.5875
2016	0.4122
2017	-0.1935
2018	0.8981
2019	-0.829
2020	-0.2183
2021	0.3491
2022	-0.08799
2023	-0.201
2024	0.8751
2025	-0.7201
2026	-0.3234
2027	0.5299
2028	-0.2501
2029	0.3181
2030	-0.4375
2031	0.2788
2032	-0.5873
2033	0.8454
2034	-0.8494
2035	0.4853
2036	0.5463
2037	0.1839
2038	-0.2055
2039	0.5117
2040	-0.323
2041	0.2894
2042	0.1158
2043	-0.341
2044	-0.1405
2045	-0.5094
2046	0.1073
2047	-0.2044
2048	6.482E-4
2049	0.3502
2050	0.4035
2051	-0.4449
2052	-0.9762
2053	0.04718
2054	0.2963
2055	0.1969
2056	0.3203
2057	-0.1384
2058	-0.01198
2059	0.08946
2060	0.1524
2061	0.1927
2062	0.1264
2063	0.8261
2064	-0.1383
2065	-0.3432
2066	0.3338
2067	0.4139
2068	-0.5668
2069	-0.3817
2070	0.3883
2071	0.69
2072	-0.1354
2073	-0.1127
2074	0.5178
2075	0.4184
2076	0.1512
2077	-0.05966
2078	-0.02533
2079	-0.3458
2080	0.08164
2081	-0.157
2082	0.103
2083	0.06301
2084	0.2936
2085	0.1645
2086	0.327
2087	0.4382
2088	0.2806
2089	-0.1961
2090	0.4753
2091	0.7512
2092	0.1972
2093	0.02987
2094	0.3844
2095	-0.4078
2096	-0.6203
2097	0.598
2098	-0.292
2099	-0.5468
2100	-0.4596
2101	0.8774
2102	-0.9637
2103	0.6849
2104	-0.0178
2105	-0.1221
2106	0.3981
2107	0.09781
2108	0.5717
2109	-0.2671
2110	0.3376
2111	0.4136
2112	-0.2837
2113	-0.539
2114	0.636
2115	-0.1133
2116	-0.5641
2117	0.3958
2118	0.303
2119	0.2619
2120	0.3216
2121	-0.2387
2122	-0.3403
2123	-0.2921
2124	-0.2379
2125	0.3594
2126	-0.01215
2127	0.04184
2128	-0.2055
2129	0.1627
2130	0.616
2131	0.1537
2132	-0.5477
2133	0.3596
2134	-0.1833
2135	0.5013
2136	0.06572
2137	-0.3561
2138	0.2019
2139	-0.1208
2140	-0.8355
2141	0.4354
2142	0.3899
2143	-0.2505
2144	0.2146
2145	-0.6893
2146	0.3666
2147	0.4889
2148	-0.1188
2149	0.121
2150	0.1484
2151	-0.2164
2152	-0.3908
2153	-0.197
2154	0.3621
2155	0.1436
2156	0.7407
2157	-0.6822
2158	-0.08247
2159	-0.3928
2160	-0.4978
2161	0.1735
2162	0.9796
2163	-0.09931
2164	0.2683
2165	0.4598
2166	-0.2961
2167	0.2293
2168	-0.1107
2169	0.05711
2170	-0.1952
2171	-0.3759
2172	0.3694
2173	-0.5324
2174	-0.5211
2175	0.4681
2176	-0.08546
2177	0.3194
2178	-0.5016
2179	-0.2396
2180	-0.2072
2181	0.05759
2182	-0.3206
2183	0.4651
2184	0.4313
2185	-0.5741
2186	0.672
2187	-0.5885
2188	0.4493
2189	0.3304
2190	0.1387
2191	-0.1396
2192	-0.07054
2193	0.6072
2194	-0.1372
2195	-0.1855
2196	0.4998
2197	-0.0379
2198	-0.355
2199	-0.1649
2200	-0.1688
2201	0.3991
2202	0.08015
2203	-0.2363
2204	-0.3711
2205	-0.2738
2206	0.393
2207	0.403
2208	-0.3788
2209	-0.5979
2210	-0.1572
2211	0.5531
2212	0.1542
2213	0.3384
2214	0.08656
2215	0.2913
2216	-0.2575
2217	0.6359
2218	-0.3394
2219	0.2036
2220	-0.2658
2221	0.2488
2222	-0.2067
2223	-0.6706
2224	0.3964
2225	0.3784
2226	0.2712
2227	0.7951
2228	-0.5459
2229	-0.108
2230	-0.7441
2231	0.4869
2232	0.5807
2233	0.05682
2234	-0.395
2235	0.3248
2236	-0.3313
2237	-0.2424
2238	-0.04627
2239	-0.03331
2240	0.1397
2241	-0.07331
2242	0.3478
2243	-0.1776
2244	0.4885
2245	0.1378
2246	0.1152
2247	0.07473
2248	-0.3948
2249	-0.7644
2250	-0.3845
2251	0.3478
2252	1.364
2253	0.4215
2254	0.03833
2255	0.3541
2256	0.1204
2257	-0.1841
2258	0.5291
2259	0.08216
2260	0.025
2261	0.09361
2262	-0.6299
2263	0.6753
2264	-0.05943
2265	0.4158
2266	0.1033
2267	-0.3276
2268	-0.9498
2269	0.06878
2270	-0.5283
2271	-0.2305
2272	0.9761
2273	0.3979
2274	-0.2363
2275	-0.01635
2276	0.1811
2277	-1.049
2278	0.4575
2279	-0.09412
2280	-0.3893
2281	0.1966
2282	0.8084
2283	0.1383
2284	0.06102
2285	-0.8115
2286	-0.3993
2287	-0.1213
2288	0.7927
2289	0.3462
2290	-0.4117
2291	0.5414
2292	-0.167
2293	0.622
2294	0.2083
2295	-0.5506
2296	-0.08259
2297	0.5832
2298	0.3383
2299	0.06675
2300	-0.2042
2301	0.04615
2302	0.01793
2303	-0.1188
2304	0.1009
2305	-0.3205
2306	0.1224
2307	-0.008172
2308	-0.1612
2309	0.01244
2310	0.01667
2311	0.2055
2312	-0.9271
2313	0.3329
2314	-0.4426
2315	0.2028
2316	0.2619
2317	0.3662
2318	-0.4119
2319	-0.5978
2320	-0.1368
2321	-0.06904
2322	-0.2714
2323	0.5933
2324	0.2464
2325	-0.1701
2326	-0.01686
2327	0.985
2328	0.1654
2329	-0.299
2330	0.3625
2331	0.07963
2332	0.3808
2333	-0.03964
2334	-0.2525
2335	-0.3757
2336	-0.01096
2337	0.1461
2338	0.3891
2339	0.3791
2340	-0.388
2341	0.7086
2342	0.102
2343	-0.8242
2344	-0.4913
2345	-0.864
2346	0.6666
2347	0.09057
2348	0.3016
2349	0.5657
2350	0.4626
2351	-0.6698
2352	0.4341
2353	0.3272
2354	-0.2346
2355	0.193
2356	-0.1284
2357	0.7279
2358	0.4257
2359	-0.3259
2360	0.6102
2361	-0.9932
2362	-0.08374
2363	0.0151
2364	0.3964
2365	0.02615
2366	-0.5402
2367	0.3218
2368	0.0902
2369	0.5465
2370	0.9141
2371	0.1474
2372	0.224
2373	-0.02672
2374	-0.1672
2375	-0.1139
2376	-0.09786
2377	1.237
2378	0.7935
2379	-0.8102
2380	0.03746
2381	-0.2102
2382	-0.3738
2383	-0.1845
2384	0.0926
2385	0.08445
2386	-0.1528
2387	0.06846
2388	-0.4567
2389	0.2012
2390	0.3258
2391	0.4261
2392	-0.4804
2393	-0.1409
2394	-0.1958
2395	0.4472
2396	0.7294
2397	0.5019
2398	0.2982
2399	-1.005
2400	0.1502
2401	-0.3792
2402	0.3999
2403	0.6075
2404	0.5031
2405	0.7519
2406	-0.3898
2407	-0.3845
2408	0.1372
2409	0.01064
2410	0.3824
2411	-0.75
2412	0.1889
2413	0.06059
2414	0.1495
2415	0.5152
2416	0.4048
2417	-0.06293
2418	-0.3815
2419	0.04398
2420	-0.4074
2421	0.3122
2422	-0.2821
2423	0.8788
2424	-0.1416
2425	-0.1057
2426	-0.1655
2427	-0.2131
2428	-0.1133
2429	0.5167
2430	0.09324
2431	-0.6249
2432	0.9829
2433	0.0903
2434	-0.5955
2435	0.244
2436	0.5255
2437	-0.06749
2438	-0.3312
2439	-0.5235
2440	-0.2015
2441	0.04299
2442	0.9569
2443	0.4007
2444	0.04379
2445	-0.05255
2446	0.1218
2447	0.4488
2448	-0.1724
2449	0.6323
2450	0.5868
2451	-0.07896
2452	-1.281
2453	0.1713
2454	-0.1857
2455	-0.1961
2456	-0.3948
2457	-0.008739
2458	-0.3768
2459	-0.3325
2460	0.4283
2461	0.08832
2462	0.3995
2463	0.07408
2464	-0.005101
2465	-0.05215
2466	-0.06115
2467	0.1763
2468	-0.2549
2469	-0.02355
2470	0.2311
2471	-0.06962
2472	0.2941
2473	-0.6792
2474	0.3092
2475	0.2818
2476	-0.1528
2477	0.2036
2478	0.6091
2479	0.7403
2480	0.3458
2481	0.4328
2482	-0.1572
2483	-0.4286
2484	0.5944
2485	-0.07221
2486	-0.3758
2487	-0.6104
2488	0.199
2489	-0.212
2490	0.2235
2491	0.3245
2492	0.2005
2493	0.109
2494	-0.654
2495	-0.5649
2496	-0.5705
2497	0.2199
2498	0.06803
2499	-0.3787
2500	0.3909
2501	0.3897
2502	0.0381
2503	0.3549
2504	0.24
2505	0.3814
2506	0.2343
2507	0.08906
2508	0.09828
2509	0.5847
2510	-0.01618
2511	-0.1617
2512	-0.2235
2513	-0.3984
2514	0.8541
2515	-0.06931
2516	-0.154
2517	-0.04959
2518	0.2142
2519	-0.01943
2520	-0.2476
2521	-0.3949
2522	-0.002329
2523	0.3281
2524	-0.1512
2525	0.8079
2526	0.3482
2527	-0.4568
2528	-0.3406
2529	-0.03513
2530	-0.5395
2531	-0.1505
2532	0.1764
2533	-0.4235
2534	0.5984
2535	-0.312
2536	0.0084
2537	0.1938
2538	-0.2461
2539	-0.02233
2540	0.2169
2541	0.1169
2542	-0.03338
2543	-0.359
2544	0.05201
2545	-0.2404
2546	0.17
2547	-0.03031
2548	-0.2925
2549	-0.1314
2550	-0.3259
2551	-0.3263
2552	-0.4328
2553	0.1036
2554	0.3087
2555	-0.11
2556	-0.1079
2557	-0.3913
2558	0.4794
2559	-0.1294
2560	0.4075
2561	-0.2819
2562	0.3623
2563	-0.5369
2564	0.3841
2565	0.08655
2566	-0.06215
2567	0.09824
2568	0.7784
2569	0.6615
2570	0.05684
2571	-0.253
2572	-0.4577
2573	-0.1376
2574	0.4598
2575	-0.1001
2576	-0.2
2577	0.7706
2578	0.4169
2579	-0.1344
2580	-0.1395
2581	0.1841
2582	-0.1732
2583	-0.8341
2584	0.3568
2585	0.4472
2586	0.7801
2587	0.1977
2588	0.1698
2589	-0.3128
2590	-0.7456
2591	-0.193
2592	-0.2091
2593	0.07219
2594	0.1997
2595	0.7992
2596	0.4605
2597	0.9386
2598	-0.003473
2599	0.4287
2600	0.5089
2601	-0.2928
2602	0.05458
2603	-0.2334
2604	0.1002
2605	0.1098
2606	0.3092
2607	-0.05939
2608	0.8278
2609	-0.821
2610	0.2171
2611	0.538
2612	0.1229
2613	-0.08488
2614	0.2029
2615	0.1249
2616	-0.5396
2617	0.2102
2618	-0.05477
2619	0.1783
2620	-0.635
2621	0.3811
2622	0.2638
2623	-0.02745
2624	-0.05122
2625	0.5651
2626	0.1312
2627	0.2195
2628	0.6451
2629	0.3315
2630	0.2711
2631	0.2152
2632	-0.5942
2633	0.4398
2634	-0.07196
2635	-0.3028
2636	0.1788
2637	0.4946
2638	-0.08808
2639	-0.1118
2640	-0.4012
2641	-0.2668
2642	-0.7745
2643	-0.2632
2644	0.2789
2645	-0.7031
2646	-0.2982
2647	-0.09453
2648	-0.03731
2649	0.5786
2650	0.648
2651	-0.6905
2652	0.2027
2653	-0.2398
2654	-0.5571
2655	0.2623
2656	0.3744
2657	0.4249
2658	0.2988
2659	0.2767
2660	0.4824
2661	0.177
2662	0.09452
2663	0.81
2664	0.665
2665	0.5215
2666	-0.3676
2667	0.3313
2668	0.08657
2669	-0.09295
2670	-0.5242
